"region_id","boats","scenario_year","data_year","dimension","max_boats","status"
1,2,2014,2013,"status",2,100
1,2,2015,2014,"status",2,100
1,2,2016,2015,"status",2,100
1,2,2017,2016,"status",2,100
1,2,2018,2017,"status",2,100
2,26,2014,2013,"status",26,100
2,26,2015,2014,"status",26,100
2,23,2016,2015,"status",26,88.4615384615385
2,19,2017,2016,"status",26,73.0769230769231
2,20,2018,2017,"status",26,76.9230769230769
3,520,2014,2013,"status",520,100
3,510,2015,2014,"status",520,98.0769230769231
3,507,2016,2015,"status",520,97.5
3,491,2017,2016,"status",520,94.4230769230769
3,460,2018,2017,"status",520,88.4615384615385
4,19,2014,2013,"status",19,100
4,18,2015,2014,"status",19,94.7368421052632
4,17,2016,2015,"status",19,89.4736842105263
4,16,2017,2016,"status",19,84.2105263157895
4,15,2018,2017,"status",19,78.9473684210526
5,152,2014,2013,"status",248,61.2903225806452
5,159,2015,2014,"status",248,64.1129032258064
5,248,2016,2015,"status",248,100
5,237,2017,2016,"status",248,95.5645161290323
5,220,2018,2017,"status",248,88.7096774193548
6,133,2014,2013,"status",134,99.2537313432836
6,134,2015,2014,"status",134,100
6,131,2016,2015,"status",134,97.7611940298508
6,130,2017,2016,"status",134,97.0149253731343
6,131,2018,2017,"status",134,97.7611940298508
