"region_id","scenario_year","data_year","sum_tonnes","max_sum_tonnes","status","dimension"
1,2012,2012,0.71,0.77,92.2077922077922,"status"
1,2013,2013,0.77,0.77,100,"status"
1,2014,2014,0.25,0.77,32.4675324675325,"status"
1,2015,2015,0.61,0.77,79.2207792207792,"status"
1,2016,2016,0.21,0.77,27.2727272727273,"status"
2,2012,2012,14.74,16.15,91.2693498452012,"status"
2,2013,2013,16.15,16.15,100,"status"
2,2014,2014,5.23,16.15,32.3839009287926,"status"
2,2015,2015,12.78,16.15,79.1331269349845,"status"
2,2016,2016,4.4,16.15,27.2445820433437,"status"
3,2012,2012,193.08,211.57,91.2605756959872,"status"
3,2013,2013,211.57,211.57,100,"status"
3,2014,2014,68.58,211.57,32.414803611098,"status"
3,2015,2015,167.39,211.57,79.1180224039325,"status"
3,2016,2016,57.68,211.57,27.2628444486458,"status"
5,2012,2012,4.45,4.87,91.3757700205339,"status"
5,2013,2013,4.87,4.87,100,"status"
5,2014,2014,1.58,4.87,32.4435318275154,"status"
5,2015,2015,3.85,4.87,79.0554414784394,"status"
5,2016,2016,1.33,4.87,27.3100616016427,"status"
6,2012,2012,1.82,1.99,91.4572864321608,"status"
6,2013,2013,1.99,1.99,100,"status"
6,2014,2014,0.65,1.99,32.6633165829146,"status"
6,2015,2015,1.58,1.99,79.3969849246231,"status"
6,2016,2016,0.54,1.99,27.1356783919598,"status"
