"region_id","year","data_year","status"
1,2014,2014,0
1,2015,2015,0
1,2016,2016,0
1,2017,2017,49.1
1,2018,2018,59.2
2,2014,2014,36.8
2,2015,2015,40.5
2,2016,2016,44.1
2,2017,2017,38.9
2,2018,2018,41.8
3,2014,2014,38.2
3,2015,2015,40
3,2016,2016,39.9
3,2017,2017,40.5
3,2018,2018,39.1
4,2014,2014,32.9
4,2015,2015,32.9
4,2016,2016,35.9
4,2017,2017,41.5
4,2018,2018,41.8
5,2014,2014,36.6
5,2015,2015,42.3
5,2016,2016,41.9
5,2017,2017,40
5,2018,2018,46.3
6,2014,2014,37
6,2015,2015,44.1
6,2016,2016,46.4
6,2017,2017,50.5
6,2018,2018,45.2
