"rgn_id","year","TTCI"
1,2008,5.28
1,2009,5.22
1,2010,5.22
1,2011,5.3
1,2012,5.3
1,2013,5.38
1,2014,5.38
1,2015,5.12
1,2016,5.12
1,2017,5.2
2,2008,5.28
2,2009,5.22
2,2010,5.22
2,2011,5.3
2,2012,5.3
2,2013,5.38
2,2014,5.38
2,2015,5.12
2,2016,5.12
2,2017,5.2
3,2008,5.28
3,2009,5.22
3,2010,5.22
3,2011,5.3
3,2012,5.3
3,2013,5.38
3,2014,5.38
3,2015,5.12
3,2016,5.12
3,2017,5.2
4,2008,5.28
4,2009,5.22
4,2010,5.22
4,2011,5.3
4,2012,5.3
4,2013,5.38
4,2014,5.38
4,2015,5.12
4,2016,5.12
4,2017,5.2
5,2008,5.28
5,2009,5.22
5,2010,5.22
5,2011,5.3
5,2012,5.3
5,2013,5.38
5,2014,5.38
5,2015,5.12
5,2016,5.12
5,2017,5.2
6,2008,5.28
6,2009,5.22
6,2010,5.22
6,2011,5.3
6,2012,5.3
6,2013,5.38
6,2014,5.38
6,2015,5.12
6,2016,5.12
6,2017,5.2
