rgn_id,year,region_tonnes
1,2012,0.71
2,2012,14.74
3,2012,193.08
4,2012,0
5,2012,159.2
6,2012,65.13
1,2013,0.77
2,2013,16.15
3,2013,211.57
4,2013,0
5,2013,174.45
6,2013,71.36
1,2014,0.25
2,2014,5.23
3,2014,68.58
4,2014,0
5,2014,56.54
6,2014,23.13
1,2015,0.61
2,2015,12.78
3,2015,167.39
4,2015,0
5,2015,138.02
6,2015,56.46
1,2016,0.21
2,2016,4.4
3,2016,57.68
4,2016,0
5,2016,47.56
6,2016,19.46
1,2017,0.78
2,2017,16.34
3,2017,214.08
4,2017,0
5,2017,176.52
6,2017,72.21
1,2018,0.74
2,2018,15.38
3,2018,201.49
4,2018,0
5,2018,166.13
6,2018,67.96
