"rgn_id","year","rgn_prod_T"
1,2012,0.71
1,2013,0.77
1,2014,0.25
1,2015,0.61
1,2016,0.21
1,2017,0.782587136
1,2018,0.736552599
2,2012,14.74
2,2013,16.15
2,2014,5.23
2,2015,12.78
2,2016,4.4
2,2017,16.33801738
2,2018,15.37695754
3,2012,193.08
3,2013,211.57
3,2014,68.58
3,2015,167.39
3,2016,57.68
3,2017,214.0805935
3,2018,201.4876174
4,2012,0
4,2013,0
4,2014,0
4,2015,0
4,2016,0
4,2017,0
4,2018,0
5,2012,159.2
5,2013,174.45
5,2014,56.54
5,2015,138.02
5,2016,47.56
5,2017,176.5178896
5,2018,166.1344844
6,2012,65.13
6,2013,71.36
6,2014,23.13
6,2015,56.46
6,2016,19.46
6,2017,72.21008665
6,2018,67.9624345
