rgn_id,year,area_km2_m,area_km2_m_gf
1,1957,1.844771529,1.844771529
2,1957,0,0
3,1957,0,0
4,1957,0,0
5,1957,0,0
6,1957,0,0
1,1958,NA,1.844771529
2,1958,NA,0
3,1958,NA,0
4,1958,NA,0
5,1958,NA,0
6,1958,NA,0
1,1959,1.844771529,1.844771529
2,1959,0.015898489,0.015898489
3,1959,48.78198319,48.78198319
4,1959,0,0
5,1959,0,0
6,1959,0.002931026,0.002931026
1,1960,1.844771529,1.844771529
2,1960,8.266938713,8.266938713
3,1960,48.78198319,48.78198319
4,1960,0,0
5,1960,14.81787724,14.81787724
6,1960,3.97253912,3.97253912
1,1961,NA,1.844771529
2,1961,NA,8.266938713
3,1961,NA,48.78198319
4,1961,NA,0
5,1961,NA,14.81787724
6,1961,NA,3.97253912
1,1962,NA,1.844771529
2,1962,NA,8.266938713
3,1962,NA,48.78198319
4,1962,NA,0
5,1962,NA,14.81787724
6,1962,NA,3.97253912
1,1963,1.844771529,1.844771529
2,1963,8.266938713,8.266938713
3,1963,48.78198319,48.78198319
4,1963,0,0
5,1963,14.81787724,14.81787724
6,1963,4.302182489,4.302182489
1,1964,NA,1.844771529
2,1964,NA,8.266938713
3,1964,NA,48.78198319
4,1964,NA,0
5,1964,NA,14.81787724
6,1964,NA,4.302182489
1,1965,NA,1.844771529
2,1965,NA,8.266938713
3,1965,NA,48.78198319
4,1965,NA,0
5,1965,NA,14.81787724
6,1965,NA,4.302182489
1,1966,NA,1.844771529
2,1966,NA,8.266938713
3,1966,NA,48.78198319
4,1966,NA,0
5,1966,NA,14.81787724
6,1966,NA,4.302182489
1,1967,NA,1.844771529
2,1967,NA,8.266938713
3,1967,NA,48.78198319
4,1967,NA,0
5,1967,NA,14.81787724
6,1967,NA,4.302182489
1,1968,NA,1.844771529
2,1968,NA,8.266938713
3,1968,NA,48.78198319
4,1968,NA,0
5,1968,NA,14.81787724
6,1968,NA,4.302182489
1,1969,NA,1.844771529
2,1969,NA,8.266938713
3,1969,NA,48.78198319
4,1969,NA,0
5,1969,NA,14.81787724
6,1969,NA,4.302182489
1,1970,NA,1.844771529
2,1970,NA,8.266938713
3,1970,NA,48.78198319
4,1970,NA,0
5,1970,NA,14.81787724
6,1970,NA,4.302182489
1,1971,1.908806508,1.908806508
2,1971,8.266938713,8.266938713
3,1971,48.78198319,48.78198319
4,1971,0,0
