year,rgn_id,species,common_name,category,postcards,magnets,tour_operators,pmt,wildlife_trusts
2014,1,Ammodytes tobianus,Small Sandeel,DD,0,0,0,0,1
2015,1,Ammodytes tobianus,Small Sandeel,DD,0,0,0,0,1
2016,1,Ammodytes tobianus,Small Sandeel,DD,0,0,0,0,1
2017,1,Ammodytes tobianus,Small Sandeel,DD,0,0,0,0,1
2018,1,Ammodytes tobianus,Small Sandeel,DD,0,0,0,0,1
2015,1,Gobius paganellus,Rock Goby,LC,0,0,0,0,1
2016,1,Gobius paganellus,Rock Goby,LC,0,0,0,0,1
2017,1,Gobius paganellus,Rock Goby,LC,0,0,0,0,1
2018,1,Gobius paganellus,Rock Goby,LC,0,0,0,0,1
2000,1,Hippocampus guttulatus,Long-snouted Seahorse,VU,0,0,0,0,1
2001,1,Hippocampus guttulatus,Long-snouted Seahorse,VU,0,0,0,0,1
2002,1,Hippocampus guttulatus,Long-snouted Seahorse,VU,0,0,0,0,1
2003,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2004,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2005,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2006,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2007,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2008,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2009,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2010,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2011,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2012,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2013,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2014,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2015,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2016,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2017,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2018,1,Hippocampus guttulatus,Long-snouted Seahorse,DD,0,0,0,0,1
2000,1,Hippocampus hippocampus,Short-snouted Seahorse,VU,0,0,0,0,1
2001,1,Hippocampus hippocampus,Short-snouted Seahorse,VU,0,0,0,0,1
2002,1,Hippocampus hippocampus,Short-snouted Seahorse,VU,0,0,0,0,1
2003,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2004,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2005,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2006,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2007,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2008,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2009,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2010,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2011,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2012,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2013,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2014,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2015,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2016,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2017,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2018,1,Hippocampus hippocampus,Short-snouted Seahorse,DD,0,0,0,0,1
2010,1,Labrus mixtus,Cuckoo Wrasse,LC,0,0,0,0,1
2011,1,Labrus mixtus,Cuckoo Wrasse,LC,0,0,0,0,1
2012,1,Labrus mixtus,Cuckoo Wrasse,LC,0,0,0,0,1
2013,1,Labrus mixtus,Cuckoo Wrasse,LC,0,0,0,0,1
2014,1,Labrus mixtus,Cuckoo Wrasse,LC,0,0,0,0,1
2015,1,Labrus mixtus,Cuckoo Wrasse,LC,0,0,0,0,1
