"rgn_id","year","pop_n"
1,"1997",1561985
1,"1998",1567662
1,"1999",1579698
1,"2000",1588122
1,"2001",1594205
1,"2002",1601901
1,"2003",1612372
1,"2004",1625689
1,"2005",1645084
1,"2006",1657601
1,"2007",1672136
1,"2008",1682369
1,"2009",1692167
1,"2010",1703667
1,"2011",1716221
1,"2012",1730512
1,"2013",1746332
1,"2014",1763149
1,"2015",1782818
2,"1997",140952
2,"1998",142041
2,"1999",143117
2,"2000",145165
2,"2001",146803
2,"2002",148251
2,"2003",150233
2,"2004",151912
2,"2005",153100
2,"2006",154359
2,"2007",155455
2,"2008",156276
2,"2009",156523
2,"2010",156979
2,"2011",157949
2,"2012",158590
2,"2013",158914
2,"2014",159677
2,"2015",160437
3,"1997",483206
3,"1998",486089
3,"1999",490563
3,"2000",495373
3,"2001",499937
3,"2002",504644
3,"2003",508579
3,"2004",511810
3,"2005",515098
3,"2006",517984
3,"2007",521957
3,"2008",524973
3,"2009",526365
3,"2010",529794
3,"2011",533760
3,"2012",537914
3,"2013",541319
3,"2014",545335
3,"2015",549404
4,"1997",1908
4,"1998",1942
4,"1999",2025
4,"2000",2100
4,"2001",2140
4,"2002",2170
4,"2003",2155
4,"2004",2210
4,"2005",2210
4,"2006",2264
4,"2007",2293
4,"2008",2333
4,"2009",2251
4,"2010",2228
4,"2011",2224
4,"2012",2264
4,"2013",2251
4,"2014",2280
4,"2015",2324
5,"1997",373070
5,"1998",370797
5,"1999",371055
5,"2000",372501
5,"2001",371772
5,"2002",374580
5,"2003",375082
5,"2004",376240
5,"2005",380486
5,"2006",382996
5,"2007",386311
5,"2008",388570
5,"2009",389352
5,"2010",391028
5,"2011",393807
5,"2012",395482
5,"2013",396944
5,"2014",399914
5,"2015",401567
6,"1997",471629
6,"1998",475182
6,"1999",478593
6,"2000",484330
6,"2001",488025
6,"2002",489529
6,"2003",491896
6,"2004",494042
6,"2005",498405
6,"2006",499134
6,"2007",502370
6,"2008",503227
6,"2009",502889
6,"2010",504180
6,"2011",505799
6,"2012",510268
6,"2013",514774
6,"2014",521043
6,"2015",527648
