"year","rgn_id","beach_status_score"
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,0
2017,3,0
2004,3,1
2005,3,1
2006,3,1
2007,3,1
2008,3,1
2009,3,1
2010,3,1
2011,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,0.75
2005,3,0.75
2006,3,0.75
2007,3,1
2008,3,1
2009,3,1
2010,3,1
2011,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,0.75
2005,3,0.75
2006,3,1
2007,3,1
2008,3,0.75
2009,3,0.75
2010,3,0.75
2011,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,1
2005,3,1
2006,3,1
2007,3,1
2008,3,1
2009,3,1
2010,3,1
2011,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,1
2005,3,1
2006,3,1
2007,3,1
2008,3,1
2009,3,1
2010,3,1
2011,3,1
2012,3,0.75
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,0.75
2005,3,1
2006,3,1
2007,3,1
2008,3,1
2009,3,0.75
2010,3,0.75
2011,3,0.75
2012,3,0.75
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,1
2005,3,0.5
2006,3,0.5
2007,3,0.75
2008,3,0.75
2009,3,1
2010,3,1
2011,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,1
2005,3,1
2006,3,1
2007,3,1
2008,3,1
2009,3,1
2010,3,1
2011,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,1
2005,3,1
2006,3,1
2007,3,1
2008,3,1
2009,3,1
2010,3,1
2011,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,1
2005,3,1
2006,3,1
2007,3,1
2008,3,1
2009,3,1
2010,3,1
2011,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,1
2005,3,1
2006,3,1
2007,3,1
2008,3,1
2009,3,1
2010,3,1
2011,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,1
2005,3,1
2006,3,1
2007,3,1
2008,3,1
2009,3,1
2010,3,1
2011,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,1
2005,3,1
2006,3,0.75
2007,3,0.75
2008,3,0.75
2009,3,1
2010,3,1
2011,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,1
2005,3,1
2006,3,1
2007,3,1
2008,3,1
2009,3,1
2010,3,1
2011,3,1
2012,3,0.75
2013,3,0.75
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,0.75
2005,3,0.75
2006,3,0.75
2007,3,0.75
2008,3,0.5
2009,3,0.25
2010,3,0.25
2011,3,0.25
2012,3,0.5
2013,3,0.75
2014,3,0.75
2004,3,1
2005,3,1
2006,3,1
2007,3,1
2008,3,0.75
2009,3,0.5
2010,3,0.75
2011,3,0.75
2012,3,0.75
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,1
2005,3,1
2006,3,1
2007,3,1
2008,3,1
2009,3,0.75
2010,3,1
2011,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,1
2004,3,0.75
2005,3,0.75
2006,3,1
2007,3,1
2008,3,1
2009,3,1
2010,3,1
2011,3,1
2012,3,1
2013,3,1
2014,3,1
2015,3,1
2016,3,1
2017,3,0.75
2004,3,1
2005,3,1
2006,3,1
2007,3,1
2008,3,1
2009,3,1
2010,3,1
