iucn_sid,am_sid,sciname,cat_code,pop_trend,spatial_source,rgn_id,rgn_name,n_cells,presence,n_spp_rgn
230,Fis-29593,Acipenser sturio,CR,decreasing,am,180,United Kingdom,225,NA,2302
903,Fis-22770,Alosa alosa,LC,unknown,am,180,United Kingdom,407,NA,2302
904,Fis-25577,Alosa fallax,LC,stable,am,180,United Kingdom,245,NA,2302
2352,Fis-29684,Atherina boyeri,LC,unknown,am,180,United Kingdom,53,NA,2302
5363,Fis-48198,Coregonus autumnalis,LC,unknown,am,180,United Kingdom,45,NA,2302
6494,Rep-4381,Dermochelys coriacea,VU,decreasing,am,180,United Kingdom,554,NA,2302
7011,W-Ech-124287,Echinus esculentus,NT,NA,am,180,United Kingdom,358,NA,2302
8784,Fis-29394,Gadus morhua,VU,NA,am,180,United Kingdom,479,NA,2302
8951,Fis-30039,Gasterosteus aculeatus,LC,stable,am,180,United Kingdom,361,NA,2302
10069,Fis-23547,Hippocampus hippocampus,DD,NA,am,180,United Kingdom,64,NA,2302
10097,Fis-23548,Hippoglossus hippoglossus,EN,NA,am,180,United Kingdom,509,NA,2302
11206,Fis-25147,Lampetra fluviatilis,LC,unknown,am,180,United Kingdom,237,NA,2302
12103,Fis-25001,Liosaccus pachygaster,VU,NA,am,180,United Kingdom,98,NA,2302
13045,Fis-23633,Melanogrammus aeglefinus,VU,NA,am,180,United Kingdom,454,NA,2302
14214,Fis-24809,Triglopsis quadricornis,LC,stable,am,180,United Kingdom,3,NA,2302
15631,Fis-23705,Osmerus eperlanus,LC,unknown,am,180,United Kingdom,256,NA,2302
16781,Fis-30477,Petromyzon marinus,LC,stable,am,180,United Kingdom,553,NA,2302
18878,Fis-24923,Pungitius pungitius,LC,stable,am,180,United Kingdom,378,NA,2302
19301,W-Msc-141115,Ranella olearia,NT,NA,am,180,United Kingdom,4,NA,2302
19855,Fis-29501,Salmo salar,LC,NA,am,180,United Kingdom,404,NA,2302
