layer,category,subcategory
po_chemicals,ecological,pollution
po_chemicals_3nm,ecological,pollution
po_pathogens,ecological,pollution
po_nutrients,ecological,pollution
po_nutrients_3nm,ecological,pollution
po_trash,ecological,pollution
sp_alien,ecological,alien_species
sp_genetic,ecological,alien_species
hd_subtidal_sb,ecological,habitat_destruction
hd_subtidal_hb,ecological,habitat_destruction
hd_intertidal,ecological,habitat_destruction
cc_sst,ecological,climate_change
cc_acid,ecological,climate_change
cc_uv,ecological,climate_change
cc_slr,ecological,climate_change
fis_offshore_trawl,ecological,fishing_pressure
fis_offshore_fixed_gear,ecological,fishing_pressure
fis_offshore_longlines,ecological,fishing_pressure
fis_inshore_dredging,ecological,fishing_pressure
fis_inshore_lining,ecological,fishing_pressure
fis_inshore_potting,ecological,fishing_pressure
fis_inshore_netting,ecological,fishing_pressure
fis_inshore_trawling,ecological,fishing_pressure
soc_deprivation,social,social
tr_rec_pres,ecological,pollution
po_ves_noise,ecological,pollution
urban_sprawl,ecological,pollution
industrial_sprawl,ecological,pollution
po_wfdir,ecological,pollution
