"region_id","boats","scenario_year","data_year","dimension","max_boats","status"
1,2,2014,2013,"status",520,0.384615384615385
1,2,2015,2014,"status",520,0.384615384615385
1,2,2016,2015,"status",520,0.384615384615385
1,2,2017,2016,"status",520,0.384615384615385
1,2,2018,2017,"status",520,0.384615384615385
2,26,2014,2013,"status",520,5
2,26,2015,2014,"status",520,5
2,23,2016,2015,"status",520,4.42307692307692
2,19,2017,2016,"status",520,3.65384615384615
2,20,2018,2017,"status",520,3.84615384615385
3,520,2014,2013,"status",520,100
3,510,2015,2014,"status",520,98.0769230769231
3,507,2016,2015,"status",520,97.5
3,491,2017,2016,"status",520,94.4230769230769
3,460,2018,2017,"status",520,88.4615384615385
4,19,2014,2013,"status",520,3.65384615384615
4,18,2015,2014,"status",520,3.46153846153846
4,17,2016,2015,"status",520,3.26923076923077
4,16,2017,2016,"status",520,3.07692307692308
4,15,2018,2017,"status",520,2.88461538461538
5,152,2014,2013,"status",520,29.2307692307692
5,159,2015,2014,"status",520,30.5769230769231
5,248,2016,2015,"status",520,47.6923076923077
5,237,2017,2016,"status",520,45.5769230769231
5,220,2018,2017,"status",520,42.3076923076923
6,133,2014,2013,"status",520,25.5769230769231
6,134,2015,2014,"status",520,25.7692307692308
6,131,2016,2015,"status",520,25.1923076923077
6,130,2017,2016,"status",520,25
6,131,2018,2017,"status",520,25.1923076923077
