"region_id","mar_jobs","wages_gbp","scenario_year","data_year","status"
1,182.5,21572.1818181818,2014,2014,91.0112359550562
1,170,21673.5909090909,2015,2015,94.1558441558442
1,150,22187.9545454545,2016,2016,100
1,130,21925.6818181818,2017,2017,40
1,90,22198.4090909091,2018,2018,24.6575342465753
2,60,17284.5,2014,2014,100
2,60,17138.5,2015,2015,50
2,60,18355.5,2016,2016,100
2,60,19206,2017,2017,100
2,80,19962,2018,2018,100
3,1817.5,18327,2014,2014,46.7824967824968
3,2160,18428,2015,2015,100
3,2017.5,19093,2016,2016,100
3,1835,19920,2017,2017,92.8738317757009
3,2065,20301,2018,2018,50
4,40,18327,2014,2014,50
4,40,18428,2015,2015,100
4,50,19093,2016,2016,100
4,50,19920,2017,2017,100
4,40,20301,2018,2018,50
5,290,19339.3333333333,2014,2014,35.8024691358025
5,300,19697.6666666667,2015,2015,100
5,310,20072,2016,2016,95.5882352941176
5,487.5,21250.3333333333,2017,2017,100
5,407.5,21341.1666666667,2018,2018,50
6,442.5,19049,2014,2014,50
6,410,19846.5,2015,2015,100
6,405,20395.5,2016,2016,97.0930232558139
6,417.5,20422.75,2017,2017,50
6,462.5,20571.75,2018,2018,50
