"region_id","nt","scenario_year","data_year","dimension","max_nt","status_inv","max_status_inv","status"
1,27.8397815916457,2014,2012,"status",29.4605907938991,0.0550161812297753,0.0550161812297753,100
1,29.4605907938991,2015,2013,"status",29.4605907938991,0,0.0550161812297753,94.4983818770225
1,28.9266771743333,2016,2014,"status",29.4605907938991,0.0181229773462781,0.0550161812297753,96.3106796116503
1,28.4690369289912,2017,2015,"status",29.4605907938991,0.0336569579288015,0.0550161812297753,97.8640776699026
1,29.0601555792247,2018,2016,"status",29.4605907938991,0.0135922330097102,0.0550161812297753,95.8576051779935
2,23.9806756068606,2014,2012,"status",25.3768108305477,0.0550161812297738,0.0550161812297738,100
2,25.3768108305477,2015,2013,"status",25.3768108305477,0,0.0550161812297738,94.4983818770226
2,24.9169074627449,2016,2014,"status",25.3768108305477,0.0181229773462781,0.0550161812297738,96.3106796116504
2,24.5227045760568,2017,2015,"status",25.3768108305477,0.0336569579288016,0.0550161812297738,97.8640776699028
2,25.0318833046956,2018,2016,"status",25.3768108305477,0.0135922330097086,0.0550161812297738,95.8576051779935
3,18.5096877917481,2014,2012,"status",19.5873066015416,0.0550161812297708,0.0550161812297708,100
3,19.5873066015416,2015,2013,"status",19.5873066015416,0,0.0550161812297708,94.4983818770229
3,19.2323262877273,2016,2014,"status",19.5873066015416,0.0181229773462759,0.0550161812297708,96.3106796116505
3,18.928057447315,2017,2015,"status",19.5873066015416,0.0336569579288004,0.0550161812297708,97.864077669903
3,19.3210713661809,2018,2016,"status",19.5873066015416,0.0135922330097057,0.0550161812297708,95.8576051779935
4,0.499745092695851,2014,2012,"status",0.528839841243212,0.0550161812297733,0.0550161812297733,100
4,0.528839841243212,2015,2013,"status",0.528839841243212,0,0.0550161812297733,94.4983818770227
4,0.519255688780552,2016,2014,"status",0.528839841243212,0.0181229773462782,0.0550161812297733,96.3106796116505
4,0.511040700955415,2017,2015,"status",0.528839841243212,0.0336569579288019,0.0550161812297733,97.8640776699029
4,0.521651726896217,2018,2016,"status",0.528839841243212,0.0135922330097087,0.0550161812297733,95.8576051779935
5,16.5719629136352,2014,2012,"status",17.5367689736756,0.0550161812297731,0.0550161812297731,100
5,17.5367689736756,2015,2013,"status",17.5367689736756,0,0.0550161812297731,94.4983818770227
5,17.2189505068388,2016,2014,"status",17.5367689736756,0.018122977346276,0.0550161812297731,96.3106796116503
5,16.9465346781215,2017,2015,"status",17.5367689736756,0.033656957928801,0.0550161812297731,97.8640776699028
5,17.298405123548,2018,2016,"status",17.5367689736756,0.0135922330097069,0.0550161812297731,95.8576051779934
6,21.3995233156178,2014,2012,"status",22.6453859744038,0.0550161812297749,0.0550161812297749,100
6,22.6453859744038,2015,2013,"status",22.6453859744038,0,0.0550161812297749,94.4983818770225
6,22.2349841573919,2016,2014,"status",22.6453859744038,0.0181229773462807,0.0550161812297749,96.3106796116506
6,21.8832111713818,2017,2015,"status",22.6453859744038,0.0336569579288025,0.0550161812297749,97.8640776699028
6,22.3375846116449,2018,2016,"status",22.6453859744038,0.0135922330097094,0.0550161812297749,95.8576051779934
