"region_id","year","data_year","status"
1,2009,2006,64.8
1,2010,2007,68
1,2011,2008,69.1
1,2012,2009,68.3
1,2013,2010,68.9
1,2014,2011,70.2
1,2015,2012,71.8
1,2016,2013,71.1
1,2017,2014,72.3
1,2018,2015,74.2
2,2009,2006,65.2
2,2010,2007,68.2
2,2011,2008,69.1
2,2012,2009,65.4
2,2013,2010,69.1
2,2014,2011,69.4
2,2015,2012,71
2,2016,2013,70.8
2,2017,2014,71.4
2,2018,2015,71.9
3,2009,2006,65.4
3,2010,2007,67.8
3,2011,2008,67.6
3,2012,2009,65.1
3,2013,2010,67.9
3,2014,2011,68.3
3,2015,2012,68.8
3,2016,2013,70.4
3,2017,2014,70.6
3,2018,2015,68.7
4,2009,2006,66.3
4,2010,2007,67.2
4,2011,2008,67.8
4,2012,2009,68.6
4,2013,2010,68.5
4,2014,2011,70
4,2015,2012,68.1
4,2016,2013,72
4,2017,2014,70.3
4,2018,2015,71.8
5,2009,2006,67.3
5,2010,2007,66.6
5,2011,2008,67
5,2012,2009,68.7
5,2013,2010,68.3
5,2014,2011,70.5
5,2015,2012,65.7
5,2016,2013,71.6
5,2017,2014,69.3
5,2018,2015,68.9
6,2009,2006,67.3
6,2010,2007,66.6
6,2011,2008,67
6,2012,2009,68.7
6,2013,2010,68.3
6,2014,2011,70.5
6,2015,2012,65.7
6,2016,2013,71.6
6,2017,2014,69.3
6,2018,2015,68.9
